,letter,hands,isStatic
0,А,"[[0.0, 0.0, 0.0], [2.2013927801068416, -1.9932423179269598, -0.4252703724909942], [2.630498478049484, -2.889710734252259, -0.5357813607426977], [2.926696045920467, -3.82735979479111, -0.7176638504384462], [3.32553402585612, -4.733459801444867, -0.8587703481729939], [1.2452530508891915, -2.6873658108851575, 0.47687507560861314], [1.3750821723599282, -3.603233052025282, 0.0969650917643961], [1.1500519983959328, -2.648921497059055, -0.09963317085171877], [1.0318730151916147, -1.68624878910037, 0.14387244567546975], [0.36937628140399104, -3.1215432856472782, 0.26632863159837417], [0.43253651629344325, -3.9718011303424268, -0.2562346490318952], [0.29664680822151124, -2.985927550331823, -0.3541492622272735], [0.501247221869094, -2.330215394831253, 0.37261083564824604], [-0.4991384547387018, -3.3151435805024247, -0.1899619325545448], [-0.4609182418522486, -4.200485783268579, -0.6533283095480511], [-0.5301954775944788, -3.203166673448904, -0.6297644007804798], [-0.4219856500436464, -2.422577351143148, -0.014158241679014139], [-1.3908887585797984, -3.248777773053778, -0.6375968007239056], [-1.3004095722700288, -4.224770798890957, -0.8357157810410611], [-1.2970992900509324, -3.2252402980094033, -0.8052556457967772], [-1.2513412549626175, -2.3432351548946904, -0.33624271447819276]]",1
1,Б,"[[0.0, 0.0, 0.0], [1.6112990916888175, -2.4223269029460077, 0.7321527247690838], [1.7682738091676486, -3.409924350083726, 0.7289557763017903], [1.7391086442344148, -4.376547559733576, 0.47441901329762537], [1.4811203475985364, -5.315553786392947, 0.24702212437024923], [0.13782714566151655, -2.9331419697113548, 0.6145582669174618], [0.16888925122628584, -3.9325422751680414, 0.6298610461083404], [0.2347662568098195, -4.928967044524304, 0.6827562174254334], [0.2797725211775024, -5.927913641556788, 0.6738045446830558], [-0.4583763783489663, -2.7532540087774233, -0.16786213124999005], [-0.5423698419327252, -3.7438778704881037, -0.2756093478480182], [-0.37811391557778595, -4.729424730253985, -0.3170506058271279], [-0.15270602712981768, -5.703684167295253, -0.3201863930424505], [-0.809390938063481, -2.230402597103585, -0.9446601617438244], [-0.5164575547811101, -3.133971035253394, -1.257316699398579], [-0.16464053145105217, -2.2072212952164194, -1.3890729191249283], [-0.18192543372027442, -1.208437884518993, -1.342889256763014], [-0.9248009600741927, -1.5886005201903646, -1.7027964429554308], [-0.36256898901884216, -2.3771577686867293, -1.951940330231554], [-0.014322872047674795, -1.4402993907115835, -1.9199869011153758], [-0.13170599485653356, -0.44890697603288465, -1.8620017082021931]]",1
2,В,"[[0.0, 0.0, 0.0], [2.2797388684796465, -1.6859883794832848, -0.9799152390847231], [2.7709610124843573, -2.5507295912798584, -1.0844305100263836], [3.253213609725685, -3.411971018377613, -1.244729096123133], [4.064446103527605, -3.9446890389212124, -1.4857962062564471], [0.7125924644914381, -2.9137466609203737, 0.047878758603267776], [0.8050544700237087, -3.9078391624909017, -0.008962035323279972], [0.8892444281701244, -4.880459405035026, -0.2255767041264644], [0.9426278920785847, -5.838075363867271, -0.5086347921065366], [-0.21976592119514626, -3.2390931126425597, -0.10978394146142577], [-0.10158132765958977, -4.231102769800189, -0.15393416181012615], [0.04501652667705727, -5.1927376611116705, -0.385812157567045], [0.1433481830265686, -6.164578689997108, -0.5999520649511095], [-1.1138199508741684, -3.005886382505832, -0.4922522578402307], [-1.021782513389216, -3.9987256841228254, -0.5684049417449002], [-0.8628704993926517, -4.964887460106027, -0.7715757921062187], [-0.7029237859032786, -5.91843964332723, -1.0268311205873821], [-1.8413869674186896, -2.415950199377845, -0.8424258380442298], [-1.820699583567939, -3.3995558763067892, -1.0215679728494325], [-1.7281521802917241, -4.362439245228634, -1.2751238759567136], [-1.6049899359329907, -5.316187891382685, -1.5493401802200346]]",1
3,Г,"[[0.0, 0.0, 0.0], [2.9115776731729897, -0.5400974985714768, 0.4806351476092804], [3.6926448012592568, 0.05283333247058242, 0.28475975093362893], [4.564923425756941, 0.48291218520454654, 0.0520320523770019], [5.48756032361193, 0.454434639069125, -0.3325848792349957], [1.6115755741328859, 2.4943471521678826, -0.4255072893972977], [1.5748367458263806, 3.493589680175835, -0.4126765172092143], [1.569839886227887, 4.4885318713506335, -0.5130013277719201], [1.587141952464946, 5.470400407178168, -0.7017731923487737], [0.8502147428022108, 3.1276936589248385, -0.564078162578585], [0.5011918396535149, 4.016243643048335, -0.26631661571299226], [0.37693264752351086, 3.097601926831455, 0.10872611571544777], [0.42639490681209297, 2.1002301189352424, 0.16166912016276766], [-0.14551289227725706, 3.1817086862094506, -0.6389704423308573], [-0.4695542615487358, 3.9843450335247934, -0.13819895255837722], [-0.4848814895496013, 2.984559539230802, -0.12426907527501846], [-0.4256793162105602, 2.0405178327034292, -0.4487384251508115], [-1.1267707132886846, 2.9959184313375635, -0.6901081964714547], [-1.2845396831540052, 3.8551020477324167, -0.2033716502102384], [-1.335184848547717, 2.879098884299956, 0.008413363877332436], [-1.3336064576538882, 1.8795368376207962, -0.021136991801670175]]",1
