,letter,hands,isStatic
0,А,"[[0.30904847383499146, 0.5412586331367493, -2.0199269783915952e-05], [0.3365496098995209, 0.5163578391075134, -0.005332935135811567], [0.35283613204956055, 0.4823327660560608, -0.00952733214944601], [0.3643532395362854, 0.4458739757537842, -0.0165995042771101], [0.37543848156929016, 0.42068997025489807, -0.02052139677107334], [0.3495559096336365, 0.4538400173187256, 0.015492299571633339], [0.3549565076828003, 0.41574200987815857, -0.0003110971883870661], [0.3485151529312134, 0.4430586099624634, -0.005938605405390263], [0.34715238213539124, 0.45415958762168884, -0.0031306413002312183], [0.3373924195766449, 0.44781050086021423, 0.012568395584821701], [0.3400081396102905, 0.4125978946685791, -0.00907305721193552], [0.33462849259376526, 0.4516269862651825, -0.012949333526194096], [0.33673807978630066, 0.4583878815174103, -0.005455879494547844], [0.32458826899528503, 0.44495633244514465, 0.00584149407222867], [0.32605206966400146, 0.4110485017299652, -0.011905032210052013], [0.3234497904777527, 0.4485110640525818, -0.011019894853234291], [0.3249080777168274, 0.4590306580066681, -0.0027236926835030317], [0.3105516731739044, 0.44600096344947815, -0.001204502652399242], [0.31336817145347595, 0.4156195819377899, -0.007371686398983002], [0.3134506046772003, 0.4405100643634796, -0.006613162811845541], [0.31418025493621826, 0.4545743763446808, 0.0008656418649479747]]",1
1,Б,"[[0.37477225065231323, 0.6075940728187561, -2.7257370675215498e-05], [0.3958036005496979, 0.5759768486022949, 0.009529106318950653], [0.4026411771774292, 0.5329586267471313, 0.009389852173626423], [0.40165799856185913, 0.5003730654716492, 0.0008092354401014745], [0.39460596442222595, 0.47470560669898987, -0.005406591575592756], [0.3804017901420593, 0.4877901077270508, 0.02507432922720909], [0.3818262219429016, 0.44196006655693054, 0.025776077061891556], [0.3835901618003845, 0.4152795374393463, 0.027192411944270134], [0.3845992386341095, 0.3928823471069336, 0.0269917082041502], [0.3679507374763489, 0.4915468692779541, 0.008734342642128468], [0.3635895252227783, 0.4401104748249054, 0.0031397587154060602], [0.36835408210754395, 0.4115228056907654, 0.001937675871886313], [0.37291988730430603, 0.39178845286369324, 0.0018741581588983536], [0.35942041873931885, 0.5042531490325928, -0.010143321007490158], [0.3734339475631714, 0.46102768182754517, -0.025100378319621086], [0.3850950300693512, 0.49174508452415466, -0.029467478394508362], [0.3846099078655243, 0.5197771787643433, -0.028171276673674583], [0.3565666079521179, 0.5201233625411987, -0.028890198096632957], [0.3762854039669037, 0.4924668073654175, -0.037628259509801865], [0.38550901412963867, 0.5172803401947021, -0.03678194433450699], [0.382877379655838, 0.5395065546035767, -0.03548196330666542]]",1
2,В,"[[0.30334097146987915, 0.5722717642784119, -3.000131073349621e-05], [0.33216989040374756, 0.5509512424468994, -0.012421726249158382], [0.35550227761268616, 0.5098772048950195, -0.0173860602080822], [0.37334194779396057, 0.4780178368091583, -0.02331588603556156], [0.39157962799072266, 0.46604156494140625, -0.02873542346060276], [0.3365429937839508, 0.43651074171066284, 0.0022008272353559732], [0.3419855833053589, 0.37799549102783203, -0.0011449914891272783], [0.34447216987609863, 0.34926873445510864, -0.007542798761278391], [0.3458760678768158, 0.324084997177124, -0.014986764639616013], [0.32078051567077637, 0.4310104250907898, -0.0004646229790523648], [0.32837697863578796, 0.3672477602958679, -0.0033024337608367205], [0.33291006088256836, 0.33751219511032104, -0.010472538881003857], [0.3353187143802643, 0.31370675563812256, -0.015717938542366028], [0.30519747734069824, 0.43507513403892517, -0.007130907382816076], [0.3106554448604584, 0.3761981725692749, -0.011646883562207222], [0.3153773248195648, 0.3474898338317871, -0.017683861777186394], [0.31934595108032227, 0.32383012771606445, -0.024017302319407463], [0.28849366307258606, 0.44861915707588196, -0.015170351602137089], [0.2894643545150757, 0.4024665057659149, -0.02357604168355465], [0.29178178310394287, 0.378355473279953, -0.02992519550025463], [0.29464927315711975, 0.3561500906944275, -0.036309558898210526]]",1
3,Г,"[[0.31311890482902527, 0.4352211356163025, -9.630475688027218e-06], [0.33891117572784424, 0.4304366707801819, 0.004248085897415876], [0.36366766691207886, 0.44923004508018494, -0.001960327383130789], [0.3855566382408142, 0.4600224494934082, -0.007800399325788021], [0.4040953516960144, 0.45945024490356445, -0.01552857831120491], [0.3615959882736206, 0.5102524757385254, -0.012809124775230885], [0.35961052775382996, 0.564254105091095, -0.012115716934204102], [0.359449565410614, 0.5963038802146912, -0.015347450040280819], [0.35990601778030396, 0.6222069263458252, -0.020327512174844742], [0.34705081582069397, 0.5223520398139954, -0.015456407330930233], [0.3361656963825226, 0.5500636100769043, -0.006169996690005064], [0.3333114981651306, 0.5289626717567444, 0.0024446279276162386], [0.33411723375320435, 0.5127155780792236, 0.0033070645295083523], [0.3292727470397949, 0.5233164429664612, -0.01679356023669243], [0.3210201859474182, 0.5437576770782471, -0.00404010433703661], [0.32072433829307556, 0.524459719657898, -0.0037712284829467535], [0.3217388391494751, 0.5082824230194092, -0.00933140330016613], [0.3116286098957062, 0.5199757218360901, -0.017713075503706932], [0.3085353672504425, 0.5368210077285767, -0.008170044049620628], [0.30760154128074646, 0.5188248753547668, -0.004265024792402983], [0.3076268434524536, 0.5028015375137329, -0.004738727584481239]]",1
