,letter,hands,isStatic
0,А,[],1
1,Б,[],1
2,В,[],1
3,Г,[],1
4,Д,[],1
5,Е,[],1
6,Ё,[],1
7,Ж,[],1
8,З,[],1
9,И,[],1
10,Й,[],1
11,К,[],1
12,Л,[],1
13,М,[],1
14,Н,[],1
15,О,[],1
16,П,[],1
17,Р,[],1
18,С,[],1
19,Т,[],1
20,У,[],1
21,Ф,[],1
22,Х,[],1
23,Ц,[],1
24,Ч,[],1
25,Ш,[],1
26,Щ,[],1
27,Ъ,[],1
28,Ы,[],1
29,Ь,[],1
30,Э,[],1
31,Ю,[],1
32,Я,[],1
33,А,[],1
34,Б,[],1
35,В,[],1
36,Г,[],1
37,Д,[],1
38,Е,[],1
39,Ё,[],1
40,Ж,[],1
41,З,[],1
42,И,[],1
43,Й,[],1
44,К,[],1
45,Л,[],1
46,М,[],1
47,Н,[],1
48,О,[],1
49,П,[],1
50,Р,[],1
51,С,[],1
52,Т,[],1
53,У,[],1
54,Ф,[],1
55,Х,[],1
56,Ц,[],1
57,Ч,[],1
58,Ш,[],1
59,Щ,[],1
60,Ъ,[],1
61,Ы,[],1
62,Ь,[],1
63,Э,[],1
64,Ю,[],1
65,Я,[],1
66,А,[],1
67,Б,[],1
68,В,[],1
69,Г,[],1
70,Д,[],1
71,Е,[],1
72,Ё,[],1
73,Ж,[],1
74,З,[],1
75,И,[],1
76,Й,[],1
77,К,[],1
78,Л,[],1
79,М,[],1
80,Н,[],1
81,О,"[[0.36231729388237, 0.5057936906814575, -2.2384148905985057e-05], [0.3843291401863098, 0.47544029355049133, -0.0029446345288306475], [0.4006648361682892, 0.44455277919769287, -0.012027011252939701], [0.4138121008872986, 0.42071714997291565, -0.024832909926772118], [0.41884729266166687, 0.3912891149520874, -0.038344305008649826], [0.3748754858970642, 0.38014915585517883, 0.0036598118022084236], [0.3886532783508301, 0.34401166439056396, -0.01930178701877594], [0.4011833071708679, 0.356545627117157, -0.038886699825525284], [0.40926793217658997, 0.37809857726097107, -0.047973521053791046], [0.3653796911239624, 0.3728993237018585, -0.007065254729241133], [0.3669019341468811, 0.3170385956764221, -0.016425151377916336], [0.3707788288593292, 0.283949077129364, -0.027007661759853363], [0.3754193186759949, 0.2555466294288635, -0.03282755985856056], [0.356187105178833, 0.3811918795108795, -0.021937981247901917], [0.3521277904510498, 0.3264012932777405, -0.030690714716911316], [0.35179761052131653, 0.29260483384132385, -0.03943917155265808], [0.3526158034801483, 0.2638712227344513, -0.043876323848962784], [0.34957560896873474, 0.40268564224243164, -0.03757866472005844], [0.33854010701179504, 0.36501502990722656, -0.044026367366313934], [0.3339739441871643, 0.33920907974243164, -0.047086115926504135], [0.33075448870658875, 0.3157207667827606, -0.048271771520376205]]",1
